text,taxonomy,keyword,knowledgegraph,concept,entity
lemons,/food and drink/food/condiments and dressings ,lemons ,/foods/fruits/citrus fruits/lemons , , 
limes,/food and drink/food/condiments and dressings ,limes ,/foods/fruits/citrus fruits/limes , , 
citrus fruits,/food and drink/food/herbs and spices ,fruits ,/foods/fruits ,Citrus , 
grapefruit,/food and drink/food/fruits and vegetables ,grapefruit ,/foods/fruits/citrus fruits/grapefruit , , 
juicy orange,/art and entertainment/celebrity fan and gossip ,juicy orange ,/colors/orange/juicy orange ,1975 births , 
apple,/technology and computing/hardware/computer/portable computer/tablet ,apple , , ,apple 
pears,/food and drink/food/fruits and vegetables ,pears ,/foods/fruits/pears , , 
plums,/food and drink/food/fruits and vegetables ,plums ,/foods/fruits/plums , , 
grapes, ,grapes ,/foods/fruits/grapes , , 
wine,/food and drink/beverages/alcoholic beverages/wine ,wine ,/products/beverages/wine , , 
beer,/food and drink/beverages/alcoholic beverages/cocktails and beer ,beer ,/products/beverages/beer , , 
gin,/food and drink/beverages/alcoholic beverages/cocktails and beer ,gin ,/beverages/liquors/spirits/gin , , 
whisky,/food and drink/beverages/alcoholic beverages/cocktails and beer , , , , 
water, ,water ,/products/services/resources/materials/liquids/water , , 
juice, ,juice ,/products/beverages/juice , , 
coca cola,/food and drink/beverages/non alcoholic beverages/soft drinks ,coca cola ,/organizations/companies/coca cola ,Coca-Cola , 
pepsi,/food and drink/beverages/non alcoholic beverages/soft drinks ,pepsi ,/organizations/companies/pepsi , ,pepsi 
milk,/food and drink/food allergies ,milk ,/foods/dairy products/milk , , 
cows,/business and industrial/agriculture and forestry/livestock ,cows ,/animals/cows , , 
horses,/sports/horses ,horses ,/animals/horses , , 
sheep,/business and industrial/agriculture and forestry/livestock ,sheep ,/animals/sheep , , 
wool, ,wool ,/products/materials/wool , , 
cotton,/business and industrial/textile industry ,cotton ,/products/materials/fabrics/cotton , , 
polyester, ,polyester ,/products/materials/polyester , , 
disco,/art and entertainment/music/music genres/electronic music ,disco ,/features/styles/disco , , 
people, ,people ,/people , , 
history,/science/social science/history ,history , , , 
way, ,way ,/people/way , , 
art, ,art ,/products/services/resources/materials/creative works/art , , 
world, ,world ,/people/world , , 
information, ,information , , , 
map,/art and entertainment/movies and tv/movies ,map , , , 
two, , , , , 
family,/education/alumni and reunions ,family ,/people/family , , 
government,"/law, govt and politics/government ",government ,/industries/media/government , , 
health,/health and fitness ,health ,/issues/health , , 
system, , , , , 
computer,/technology and computing/hardware/computer , , , , 
meat,/food and drink/food and grocery retailers/butchers ,meat ,/foods/meat , , 
year, , , , , 
thanks, ,thanks ,/comments/thanks , , 
music,/art and entertainment/music ,music ,/activities/songs/tracks/music , , 
person, ,person ,/people , , 
reading,/hobbies and interests/reading ,reading ,/activities/reading , , 
method, ,method ,/tools/resources/materials/method , , 
data, ,data , , , 
food,/food and drink ,food , , , 
understanding, ,understanding ,/concepts/factors/skills/understanding , , 
theory,/art and entertainment/music/music reference/music composition and theory ,theory ,/books/theory , , 
law,"/law, govt and politics ",law ,/fields/law , , 
bird,/pets/birds ,bird ,/animals/bird , , 
literature,/art and entertainment/books and literature ,literature ,/fields/subjects/literature , , 
problem,/health and fitness/addiction/substance abuse ,problem ,/problems , , 
software,/technology and computing/software ,software ,/products/materials/software , , 
control,/home and garden/pest control ,control ,/activities/functions/control , , 
knowledge, ,knowledge , , , 
power, ,power ,/industries/power , , 
ability, ,ability ,/concepts/factors/ability , , 
economics, ,economics ,/fields/social sciences/economics , , 
love, ,love ,/people/emotions/love , , 
internet, ,internet ,/industries/media/internet , , 
television,/art and entertainment/movies and tv/television ,television ,/industries/media/television , , 
science,/science ,science ,/fields/subjects/science , , 
library, ,library ,/industries/media/library , , 
nature, ,nature ,/activities/events/details/features/factors/nature , , 
fact, ,fact ,/products/materials/links/resources/fact , , 
product, ,product ,/products , , 
idea, ,idea ,/products/services/resources/materials/idea , , 
temperature, ,temperature ,/considerations/factors/features/variables/environmental factors/temperature , , 
investment, ,investment ,/factors/assets/investment , , 
area, ,area , , , 
society,/society ,society ,/organizations/society , , 
activity,/hobbies and interests/paranormal phenomena ,activity ,/activities , , 
story,/art and entertainment/books and literature/fan fiction ,story ,/activities/story , , 
industry, ,industry ,/organizations/government agencies/industry , , 
media,/business and industrial/advertising and marketing/public relations ,media ,/industries/media , , 
thing, ,thing , , , 
oven,/home and garden/appliances/small appliances/toasters and toaster ovens , , , , 
community, ,community ,/organizations/communities/community , , 
definition, ,definition , , , 
safety,/home and garden/environmental safety ,safety ,/issues/safety , , 
quality, ,quality ,/issues/quality , , 
development, ,development ,/activities/services/development , , 
language,/education/language learning ,language ,/products/materials/services/resources/skills/language , , 
management,/business and industrial/business operations/management/supply chain management ,management ,/people/representatives/employees/management , , 
player,/technology and computing/consumer electronics/tv and video equipment/video players and recorders/dvd players and recorders ,player ,/people/player , , 
variety, ,variety ,/sources/publications/variety , , 
video,/technology and computing/software/desktop video ,video ,/sources/video , , 
week, , , , , 
security,/technology and computing/computer security/network security ,security ,/issues/security , , 
country,/art and entertainment/music/music genres/country music ,country , , , 
exam,/technology and computing/computer certification ,exam , , , 
movie,/art and entertainment/movies and tv/movies ,movie ,/industries/media/movie , , 
organization, ,organization ,/organizations , , 
equipment,/technology and computing/consumer electronics/tv and video equipment ,equipment ,/products/materials/services/resources/equipment , , 
physics,/science/physics ,physics ,/fields/sciences/physics , , 
analysis,/technology and computing/enterprise technology/data management ,analysis ,/products/tools/resources/materials/services/analysis , , 
policy,"/law, govt and politics/politics/foreign policy ",policy ,/issues/policy , , 
series, ,series , , , 
thought, , , , , 
basis, ,basis ,/products/chemicals/basis , , 
boyfriend, ,boyfriend ,/women/men/boyfriend , , 
direction, ,direction , , , 
strategy,/business and industrial/advertising and marketing/brand management ,strategy ,/activities/games/strategy , , 
technology,/technology and computing ,technology ,/industries/technology , , 
army,"/law, govt and politics/armed forces/army ",army ,/services/army , ,army 
camera,/technology and computing/consumer electronics/camera and photo equipment/cameras and camcorders/camera bags ,camera ,/devices/camera , , 
freedom, ,freedom ,/matters/values/human rights/freedom , , 
paper,/business and industrial/paper industry ,paper ,/products/materials/paper , , 
environment,/technology and computing/computer certification ,environment ,/people/media/environment , , 
child, ,child ,/people/child , , 
instance,/technology and computing/consumer electronics/tv and video equipment/dvrs and set-top boxes ,instance ,/features/instance , , 
month, , , , , 
truth, ,truth ,/matters/truth , , 
marketing,/business and industrial/advertising and marketing/marketing ,marketing ,/products/tools/resources/materials/services/marketing , , 
university, ,university ,/schools/university , , 
writing,/hobbies and interests/getting published/freelance writing , , , , 
article,/technology and computing/computer reviews ,article ,/products/materials/services/resources/article , , 
department,"/law, govt and politics/law enforcement/fire department ",department ,/organizations/agencies/department , , 
difference, ,difference ,/issues/difference , , 
goal, ,goal ,/activities/events/details/features/points/goal , , 
news,/news ,news ,/people/media/websites/links/resources/news , , 
audience, ,audience ,/people/audience , , 
fishing,/sports/fishing ,fishing ,/activities/fishing , , 
growth, ,growth ,/issues/growth , , 
income,"/law, govt and politics/legal issues/legislation/tax laws ",income , , , 
marriage,/society/social institution/marriage ,marriage ,/issues/relationships/marriage , , 
user, ,user ,/people/professionals/developers/users/user , , 
combination, ,combination ,/derivatives/combination , , 
failure,/health and fitness/disease/thyroid disease ,failure ,/problems/failure , , 
meaning,/science/social science/linguistics/translation ,meaning ,/issues/meaning , , 
medicine,/science/medicine ,medicine ,/fields/medicine , , 
philosophy,/science/social science/philosophy ,philosophy ,/fields/philosophy , , 
teacher,/education/english as a second language ,teacher ,/people/professionals/teacher , , 
communication, ,communication ,/products/materials/services/resources/skills/communication , , 
night, ,night ,/times/night , , 
chemistry,/science/chemistry ,chemistry ,/fields/sciences/chemistry , , 
disease,/health and fitness/disease ,disease ,/problems/disease , , 
disk,/technology and computing/hardware/computer components/disks ,disk , , , 
energy,/business and industrial/energy/renewable energy ,energy ,/industries/energy , , 
nation, ,nation ,/people/media/publications/nation , , 
road,/sports/auto racing ,road , , , 
role,/art and entertainment/theatre/theatre awards ,role ,/issues/role , , 
soup,/food and drink/food/salads ,soup ,/recipes/dishes/soup , , 
advertising,/business and industrial/advertising and marketing/advertising ,advertising ,/products/materials/advertising , , 
location,/business and industrial/tanning ,location , , , 
success, ,success ,/categories/subjects/success , , 
addition, ,addition ,/concepts/numbers/factors/changes/addition , , 
apartment,/real estate/apartments ,apartment , , , 
education,/education ,education ,/industries/media/education , , 
math,/science/mathematics/algebra ,math ,/activities/courses/subjects/math , , 
moment, ,moment ,/pieces/moment , , 
painting,/art and entertainment/visual art and design/painting ,painting ,/industries/media/painting , , 
politics,"/law, govt and politics/politics ",politics ,/issues/politics , , 
attention,/health and fitness/disorders/mental disorder/a.d.d. ,attention ,/techniques/concepts/factors/resources/skills/attention , , 
decision, ,decision ,/activities/decision , , 
event,/art and entertainment/shows and events/sports event ,event ,/activities/event , , 
property,/society/crime/property crime/larceny ,property , , , 
shopping,/shopping ,shopping ,/activities/services/benefits/rewards/points/shopping , , 
student,/finance/personal finance/lending/student loans ,student ,/people/student , , 
wood, ,wood ,/products/materials/wood , , 
competition, ,competition ,/activities/events/competition , , 
distribution,/business and industrial/business operations/management/supply chain management ,distribution ,/industries/distribution , , 
entertainment,/art and entertainment ,entertainment ,/industries/entertainment , , 
office, ,office , , , 
population,/science/medicine/genetics ,population ,/fields/statistics/population , , 
president,"/law, govt and politics/government/executive branch ",president ,/persons/guests/representatives/employees/officers/president , ,president 
unit, ,unit , , , 
category,/technology and computing/software/shareware and freeware ,category , , , 
cigarette,/health and fitness/addiction/smoking addiction ,cigarette ,/products/goods/tobacco products/cigarette , , 
context, ,context , , , 
introduction, ,introduction ,/parts/sections/introduction , , 
opportunity,/business and industrial/business operations/human resources/compensation and benefits ,opportunity ,/issues/benefits/opportunity , , 
performance,/automotive and vehicles/cars/performance vehicles ,performance ,/issues/performance , , 
driver, ,driver , , , 
flight, ,flight ,/activities/events/nights/flight , , 
length, ,length ,/details/features/factors/length , , 
magazine, ,magazine ,/products/materials/services/resources/publications/magazine , , 
newspaper, ,newspaper ,/industries/media/newspaper , , 
relationship, ,relationship ,/issues/relationship , , 
teaching,/education/english as a second language ,teaching , , , 
cell,/business and industrial/energy/renewable energy/fuel cell ,cell ,/tissues/cell , , 
dealer,/automotive and vehicles/certified pre-owned ,dealer , , , 
finding, ,finding ,/small items/jewelry making supplies/finding , , 
lake, ,lake ,/natural resources/waterways/lake , , 
member, ,member , , , 
message,/technology and computing/internet technology/email ,message , , , 
phone,/technology and computing/consumer electronics/telephones/mobile phones ,phone ,/devices/phone , , 
scene, ,scene ,/images/scene , , 
appearance, ,appearance ,/details/features/characteristics/appearance , , 
association,/education/alumni and reunions ,association ,/organizations/association , , 
concept, ,concept ,/tools/resources/materials/concept , , 
customer,/technology and computing/enterprise technology/customer relationship management ,customer ,/organizations/individuals/employees/customer , , 
death,"/law, govt and politics/legal issues/death penalty ",death ,/services/events/death , , 
discussion,/technology and computing/computer reviews ,discussion , , , 
housing,/home and garden ,housing ,/issues/resources/materials/services/housing , , 
inflation,/society/work/unemployment ,inflation ,/concepts/numbers/factors/inflation , , 
insurance,/finance/personal finance/insurance ,insurance ,/industries/financial services/insurance , , 
mood,/health and fitness/disorders/mental disorder/bipolar disorder ,mood , , , 
woman,/family and parenting/motherhood/artificial insemination ,woman ,/people/woman , , 
advice,/careers/career advice ,advice , , , 
blood,/health and fitness/disease/cholesterol ,blood ,/products/materials/specimens/body fluids/blood , , 
effort, ,effort , , , 
expression,/science/mathematics/arithmetic ,expression ,/human rights/expression , , 
importance, ,importance ,/concepts/importance , , 
opinion, ,opinion ,/products/services/resources/materials/opinion , , 
payment,/finance/bank/checks ,payment , , , 
reality,/art and entertainment/movies and tv/reality ,reality ,/people/reality , , 
responsibility, ,responsibility ,/issues/values/responsibility , , 
situation, ,situation ,/situations , , 
skill, ,skill , , , 
statement, ,statement ,/statements , , 
wealth, ,wealth , , , 
application, ,application , , , 
city, ,city ,/places/city , , 
county, ,county ,/organizations/agencies/county , , 
depth, ,depth ,/details/features/factors/depth , , 
estate,/real estate ,estate , , , 
foundation, ,foundation ,/organizations/foundation , , 
grandmother, ,grandmother ,/people/women/grandmother , , 
heart,/health and fitness/disease/heart disease ,heart ,/tissues/organs/heart , , 
perspective,/health and fitness/alternative medicine/holistic healing ,perspective ,/techniques/perspective , , 
photo, ,photo , , , 
recipe,/food and drink/health and lowfat cooking ,recipe ,/products/services/resources/materials/ideas/recipe , , 
studio, ,studio , , , 
topic, ,topic ,/topics , , 
collection, ,collection , , , 
depression,/health and fitness/disorders/mental disorder/depression ,depression ,/problems/depression , ,depression 
imagination, ,imagination ,/tools/resources/skills/imagination , , 
passion, ,passion , , , 
percentage, ,percentage , , , 
resource,/business and industrial/energy/renewable energy/geothermal energy ,resource ,/products/tools/resources/materials/services/resource , , 
setting, ,setting ,/factors/features/details/setting , , 
ad, ,ad ,/diseases/dementias/ad , , 
agency, ,agency ,/organizations/agency , , 
college,/education/graduate school/college ,college ,/organizations/institutions/college , , 
connection,/technology and computing/networking/vpn and remote access ,connection ,/products/details/features/connection , , 
criticism, ,criticism ,/issues/concerns/inquiries/comments/criticism , , 
debt,/finance/personal finance/debt management ,debt ,/issues/debt , , 
description, ,description ,/products/services/features/details/description , , 
memory,/technology and computing/hardware/computer components/memory ,memory ,/products/services/resources/memory , , 
patience, ,patience ,/concepts/factors/characteristics/attributes/qualities/patience , , 
secretary,/business and industrial/agriculture and forestry/agriculture , , , ,secretary 
solution,/technology and computing/enterprise technology/enterprise resource planning ,solution ,/products/solution , , 
administration,/education/graduate school/college administration ,administration ,/activities/services/administration , , 
aspect,/technology and computing/consumer electronics/tv and video equipment/televisions/hdtvs ,aspect ,/factors/features/parameters/aspect , , 
attitude,/art and entertainment/music/music genres/punk ,attitude ,/concepts/factors/attitude , , 
director,/business and industrial/business operations/human resources ,director ,/organizations/individuals/participants/representatives/director , ,director 
personality, ,personality ,/details/features/factors/personality , , 
psychology,/science/medicine/psychology and psychiatry ,psychology ,/fields/psychology , , 
recommendation, ,recommendation , , , 
response, ,response ,/factors/materials/comments/response , , 
selection, ,selection ,/issues/selection , , 
storage,/automotive and vehicles/vehicle rental ,storage , , , 
version,/technology and computing/software/shareware and freeware ,version , , , 
alcohol,/health and fitness/addiction ,alcohol ,/products/medications/drugs/alcohol , , 
argument,/religion and spirituality/atheism and agnosticism ,argument ,/links/argument , , 
complaint, ,complaint ,/issues/complaint , , 
contract,/society/work/contracts ,contract ,/issues/relationships/arrangements/agreements/contract , , 
emphasis, ,emphasis , , , 
highway,"/law, govt and politics/law enforcement/highway patrol ",highway ,/activities/projects/highway , , 
loss,/health and fitness/weight loss ,loss ,/problems/loss , , 
membership, ,membership ,/activities/membership , , 
possession, ,possession ,/charges/possession , , 
preparation, ,preparation ,/activities/services/preparation , , 
steak,/food and drink/barbecues and grilling ,steak ,/foods/meats/steak , , 
union,/society/work/unions ,union ,/organizations/union , , 
agreement,/business and industrial/company/joint venture ,agreement , , , 
cancer,/health and fitness/disease/cancer ,cancer ,/issues/causes/diseases/cancer , ,cancer 
currency,/automotive and vehicles/vehicle brands/fiat ,currency ,/valuables/currency , , 
employment, ,employment ,/issues/employment , , 
engineering,/science/engineering ,engineering ,/fields/engineering , , 
entry, ,entry ,/requirements/entry , , 
interaction,/art and entertainment/visual art and design ,interaction ,/issues/interaction , , 
mixture,/home and garden/appliances/small appliances/food processors ,mixture ,/silk fabrics/mixture , , 
preference, ,preference , , , 
region, ,region ,/places/region , , 
republic,"/law, govt and politics/government/embassies and consulates ",republic , , , 
tradition, ,tradition ,/people/tradition , , 
virus,/health and fitness/disease/cold and flu ,virus ,/problems/threats/virus , , 
actor,/art and entertainment/theatre/theatre awards ,actor ,/parties/entities/persons/actor , , 
classroom,/education/teaching and classroom resources/lesson plans ,classroom ,/services/resources/facilities/classroom , , 
delivery,/business and industrial/logistics/air freight ,delivery , , , 
device,/technology and computing/consumer electronics/ebook reader ,device ,/devices , , 
difficulty,/health and fitness/disease/thyroid disease ,difficulty ,/problems/difficulty , , 
drama,/art and entertainment/theatre/theatre awards ,drama ,/activities/drama , , 
election,"/law, govt and politics/politics/elections/presidential elections ",election ,/issues/election , , 
engine,/technology and computing/internet technology/web search ,engine , , , 
football,/sports/football ,football ,/activities/sports/football , ,football 
guidance, ,guidance ,/tools/resources/materials/services/guidance , , 
hotel,/travel/tourist facilities/hotel ,hotel ,/products/services/accommodations/hotel , , 
owner, ,owner ,/people/owner , , 
priority, ,priority ,/issues/priority , , 
protection,/shopping/resources/consumer protection ,protection ,/issues/protection , , 
suggestion, ,suggestion ,/services/resources/materials/submissions/comments/suggestion , , 
tension,/health and fitness/disease/headaches and migraines ,tension ,/problems/disorders/symptoms/tension , , 
variation,/science/medicine/genetics ,variation , , , 
anxiety,/health and fitness/disorders/mental disorder/panic and anxiety ,anxiety ,/issues/anxiety , , 
atmosphere, ,atmosphere ,/details/features/factors/atmosphere , , 
awareness,/health and fitness/disease/autism and pdd ,awareness ,/issues/awareness , , 
bath,/home and garden/bed and bath/bedroom ,bath ,/products/bath , , 
bread,/food and drink/food and grocery retailers/bakeries ,bread ,/foods/bread , , 
candidate,"/law, govt and politics/politics/elections/presidential elections ",candidate ,/people/candidate , , 
climate,/science/geography/topography ,climate , , , 
comparison,/shopping/resources/comparisons engines ,comparison , , , 
confusion,/health and fitness/disease/headaches and migraines ,confusion ,/problems/symptoms/confusion , , 
construction,/business and industrial/construction ,construction ,/industries/construction , , 
elevator,/home and garden/laundry ,elevator ,/services/hotel facilities/elevator , , 
emotion, ,emotion ,/concepts/factors/emotion , , 
employee,/business and industrial/business operations/human resources/compensation and benefits ,employee ,/people/representatives/employee , , 
employer,/careers/resume writing and advice ,employer ,/organizations/employer , , 
guest,/travel/tourist facilities/bed and breakfast ,guest ,/people/guest , , 
height, ,height ,/considerations/factors/features/parameters/characteristics/height , , 
leadership, ,leadership ,/issues/opportunities/services/resources/skills/leadership , , 
mall,/shopping ,mall ,/places/mall , , 
manager, ,manager ,/people/representatives/employees/manager , , 
operation, ,operation ,/activities/operations/systems/units/departments/operation , , 
recording,/hobbies and interests/home recording ,recording , , , 
sample,/business and industrial/business operations/business plans ,sample , , , 
transportation, ,transportation ,/issues/resources/materials/services/transportation , , 
charity, ,charity ,/organizations/groups/organisations/charity , , 
cousin, ,cousin ,/people/relatives/cousin , , 
disaster,/science/ecology/environmental disaster ,disaster ,/situations/emergencies/disaster , , 
editor, ,editor , , ,editor 
efficiency,/business and industrial/energy/renewable energy ,efficiency ,/issues/efficiency , , 
excitement, ,excitement ,/factors/emotions/excitement , , 
extent,"/law, govt and politics ",extent ,/factors/circumstances/extent , , 
feedback,/technology and computing/software/shareware and freeware ,feedback ,/activities/services/resources/materials/submissions/feedback , , 
guitar,/hobbies and interests/guitar ,guitar ,/products/instruments/guitar , , 
homework,/education/homework and study tips ,homework ,/activities/homework , , 
leader, ,leader ,/people/leader , , 
mom, ,mom ,/people/family members/mom , , 
outcome, ,outcome ,/issues/outcome , , 
permission,"/law, govt and politics/legal issues/civil law/copyright ",permission ,/factors/features/settings/permission , , 
presentation,/business and industrial/business operations/business plans ,presentation ,/activities/projects/presentation , , 
promotion,/shopping/resources/coupons ,promotion ,/issues/benefits/discounts/deals/promotion , , 
reflection, ,reflection , , , 
refrigerator,/home and garden/appliances/refrigerators and freezers ,refrigerator ,/devices/appliances/refrigerator , , 
resolution,/technology and computing/hardware/computer/desktop computer ,resolution ,/details/features/settings/resolution , , 
revenue,"/law, govt and politics/legal issues/legislation/tax laws ",revenue , , , 
session, ,session ,/activities/events/session , , 
singer, ,singer ,/people/professionals/artists/musicians/singer , , 
tennis,/sports/tennis ,tennis ,/activities/sports/tennis , ,tennis 
basket,/home and garden/laundry ,basket ,/products/containers/basket , , 
bonus, ,bonus ,/issues/benefits/bonus , , 
cabinet,"/law, govt and politics/government/executive branch ",cabinet ,/products/cabinet , , 
childhood, ,childhood ,/issues/childhood , , 
church,/religion and spirituality/christianity/catholicism ,church ,/organizations/church , , 
clothes,/family and parenting/babies and toddlers/baby clothes ,clothes ,/accessories/clothes , , 
coffee,/food and drink/beverages/non alcoholic beverages/coffee and tea ,coffee ,/products/beverages/coffee , , 
dinner,/food and drink/beverages/alcoholic beverages/cocktails and beer ,dinner ,/activities/events/dinner , , 
drawing,/art and entertainment/visual art and design/drawing ,drawing , , , 
hair,/style and fashion/beauty/hair care ,hair ,/products/materials/services/hair , , 
hearing,/health and fitness/disease/aids and hiv , , , , 
initiative,/health and fitness/women's health ,initiative ,/activities/initiative , , 
judgment,/society/social institution/divorce ,judgment , , , 
lab,/technology and computing/computer certification ,lab , , , 
measurement,/science/mathematics/geometry ,measurement ,/products/services/applications/measurement , , 
mode,/technology and computing/computer certification ,mode , , , 
mud, ,mud ,/products/materials/mud , , 
orange, ,orange ,/colors/orange , , 
poetry,/art and entertainment/books and literature/poetry ,poetry , , , 
police,"/law, govt and politics/law enforcement/police ",police ,/organizations/agencies/police , , 
possibility, ,possibility , , , 
procedure,/science/medicine/surgery/cosmetic surgery ,procedure ,/products/services/resources/materials/procedure , , 
queen, ,queen , , , 
ratio, ,ratio , , , 
relation, ,relation ,/people/relation , , 
restaurant,/food and drink/food/fast food ,restaurant ,/organizations/businesses/restaurant , , 
satisfaction, ,satisfaction ,/issues/satisfaction , , 
sector,/finance/bank ,sector , , , 
signature, ,signature ,/media/graphics/signature , , 
significance, ,significance , , , 
song,/art and entertainment/music/music reference/sheet music ,song ,/people/users/song , , 
tooth, ,tooth ,/products/parts/body parts/tooth , , 
town, ,town ,/places/town , , 
vehicle,/automotive and vehicles/off-road vehicles ,vehicle ,/vehicles , , 
volume, ,volume , , , 
wife, ,wife ,/persons/family members/wife , , 
accident,/travel/transports/road travel/road accident ,accident ,/issues/accident , , 
airport,/travel/transports/air travel/airports ,airport ,/places/airport , , 
appointment, ,appointment ,/activities/events/appointment , , 
arrival, ,arrival , , , 
assumption,/religion and spirituality/atheism and agnosticism ,assumption ,/factors/assumption , , 
baseball,/sports/baseball ,baseball ,/activities/sports/baseball , ,baseball 
chapter,/business and industrial/company/bankruptcy ,chapter ,/materials/resources/publications/chapter , , 
committee,"/law, govt and politics/government/courts and judiciary ",committee ,/organizations/groups/committee , , 
conversation, ,conversation ,/activities/events/conversation , , 
database,/technology and computing/software/databases ,database ,/products/materials/services/resources/database , , 
enthusiasm,/art and entertainment/humor ,enthusiasm , , , 
error,/technology and computing/internet technology/email ,error ,/problems/error , , 
explanation, ,explanation ,/types/explanation , , 
farmer,/business and industrial/agriculture and forestry/organic farming ,farmer ,/people/farmer , , 
gate,/travel/specialty travel/sightseeing tours ,gate ,/products/gate , , 
girl, ,girl ,/people/children/girl , , 
hall,/art and entertainment/shows and events/concert ,hall ,/facilities/rooms/hall , , 
historian,/science/social science/history/modern history ,historian ,/people/experts/scholars/historian , , 
hospital,/society/welfare/healthcare/hospital ,hospital ,/organizations/institutions/hospital , , 
injury, ,injury ,/problems/injury , , 
instruction,/education/english as a second language ,instruction ,/products/tools/resources/materials/instruction , , 
maintenance, ,maintenance ,/activities/services/maintenance , , 
manufacturer,/business and industrial/metals ,manufacturer ,/organizations/businesses/manufacturer , , 
meal,/food and drink/vegetarian ,meal , , , 
perception, ,perception ,/issues/perception , , 
pie,/food and drink/desserts and baking ,pie ,/foods/desserts/pie , , 
poem,/art and entertainment/books and literature/poetry ,poem ,/resources/materials/writings/poem , , 
presence,/technology and computing/internet technology/web design and html ,presence ,/services/features/factors/presence , , 
proposal,"/law, govt and politics/government/legislative ",proposal ,/activities/services/communications/materials/proposal , , 
reception, ,reception ,/activities/events/reception , , 
replacement, ,replacement , , , 
revolution, ,revolution ,/events/revolution , , 
river, ,river ,/issues/natural resources/waterways/river , , 
son, ,son ,/guests/family members/children/son , , 
speech,/health and fitness/therapy/physical therapy ,speech , , , 
tea,/food and drink/beverages/non alcoholic beverages/coffee and tea ,tea ,/products/beverages/tea , , 
village, ,village ,/places/village , , 
warning,/science/weather/meteorological disaster/tornado ,warning ,/communications/messages/warning , , 
winner, ,winner , , , 
worker, ,worker ,/people/worker , , 
writer, ,writer ,/people/professionals/artists/writer , ,writer 
assistance, ,assistance , , , 
breath,/health and fitness/disease/asthma ,breath ,/techniques/breath , , 
buyer,/real estate/buying and selling homes ,buyer ,/people/clients/individuals/employees/agents/buyer , , 
chest, ,chest ,/body parts/organs/muscles/chest , , 
chocolate,/food and drink/desserts and baking ,chocolate ,/foods/chocolate , , 
conclusion, ,conclusion ,/statements/conclusion , , 
contribution,/finance/personal finance/financial planning/retirement and pension ,contribution ,/issues/benefits/payments/contribution , , 
